Player,Team,Age,Height,Weight,GP,MIN,FREQ,DFGM,DFGA,FG%
Al Horford,BOS,32.0,82,245,72,2277,35.7%,202.0,378.0,62.2
Al Jefferson,IND,33.0,82,280,36,484,48.5%,71.0,111.0,62.4
Alan Williams,PHX,25.0,80,265,5,70,52.2%,7.0,12.0,66.9
Alex Len,PHX,25.0,85,250,69,1395,53.1%,210.0,376.0,62.0
Amir Johnson,PHI,31.0,81,240,74,1170,51.7%,156.0,281.0,60.9
Andre Drummond,DET,24.0,83,279,78,2625,50.7%,292.0,499.0,62.2
Andrew Bogut,LAL,33.0,84,260,24,216,43.0%,18.0,34.0,61.8
Ante Zizic,CLE,21.0,83,250,32,214,45.4%,27.0,49.0,61.7
Anthony Davis,NOP,25.0,82,253,75,2727,39.5%,250.0,487.0,62.0
Aron Baynes,BOS,31.0,82,260,81,1484,43.0%,194.0,325.0,61.8
Bam Adebayo,MIA,20.0,82,255,69,1368,38.2%,93.0,178.0,61.5
Bismack Biyombo,ORL,25.0,81,255,82,1495,53.3%,198.0,360.0,61.2
Boban Marjanovic,LAC,29.0,87,290,39,338,41.4%,35.0,63.0,62.6
Brandan Wright,HOU,30.0,82,235,28,381,46.5%,32.0,60.0,61.5
Brook Lopez,LAL,30.0,84,268,74,1735,42.6%,200.0,368.0,62.5
Caleb Swanigan,POR,21.0,80,250,27,189,34.3%,14.0,23.0,60.9
Chinanu Onuaku,HOU,21.0,82,245,1,22,33.3%,2.0,2.0,55.7
Clint Capela,HOU,24.0,82,240,74,2034,48.8%,333.0,588.0,61.7
Cody Zeller,CHA,25.0,84,240,33,627,44.5%,58.0,98.0,60.9
Cole Aldrich,MIN,29.0,83,253,21,49,27.8%,4.0,5.0,64.7
Cristiano Felicio,CHI,25.0,81,280,55,977,41.6%,108.0,163.0,61.5
Dakari Johnson,OKC,22.0,84,255,31,161,34.7%,17.0,25.0,60.6
Damian Jones,GSW,23.0,84,245,15,89,51.2%,12.0,21.0,58.8
Daniel Theis,BOS,26.0,81,243,63,936,46.2%,114.0,205.0,61.6
Davis Bertans,SAS,25.0,82,210,77,1086,40.1%,100.0,179.0,61.3
DeAndre Jordan,LAC,29.0,83,265,77,2423,37.3%,209.0,344.0,62.2
DeMarcus Cousins,NOP,27.0,83,270,48,1737,45.8%,216.0,368.0,61.5
Derrick Favors,UTA,26.0,82,265,77,2153,43.7%,210.0,404.0,62.4
Dewayne Dedmon,ATL,28.0,84,245,62,1542,35.9%,122.0,224.0,61.9
Deyonta Davis,MEM,21.0,83,237,62,943,55.0%,120.0,208.0,60.9
Dirk Nowitzki,DAL,40.0,84,245,77,1900,43.7%,195.0,317.0,62.5
Domantas Sabonis,IND,22.0,82,252,74,1810,50.6%,228.0,404.0,61.6
Dwight Howard,CHA,32.0,83,265,81,2463,40.2%,209.0,363.0,62.1
Dwight Powell,DAL,26.0,83,240,79,1672,27.3%,127.0,198.0,61.9
Ed Davis,POR,29.0,82,245,78,1471,50.9%,177.0,317.0,61.8
Ekpe Udoh,UTA,31.0,82,245,63,810,49.4%,102.0,198.0,60.5
Emeka Okafor,NOP,35.0,82,255,26,353,48.6%,50.0,101.0,62.9
