Player,Team,Age,Height,Weight,GP,MIN,FREQ,DFGM,DFGA,FG%
Enes Kanter,NYK,26.0,83,245,71,1830,45.4%,236.0,391.0,62.2
Eric Moreland,DET,26.0,82,238,67,805,51.7%,117.0,201.0,62.5
Frank Kaminsky,CHA,25.0,84,242,79,1835,31.1%,145.0,233.0,61.1
Georgios Papagiannis,POR,20.0,85,240,17,122,53.6%,30.0,37.0,61.6
Gorgui Dieng,MIN,28.0,83,251,79,1333,43.4%,176.0,275.0,61.6
Greg Monroe,BOS,28.0,83,265,51,1041,57.0%,166.0,270.0,61.7
Hassan Whiteside,MIA,29.0,84,265,54,1364,54.8%,170.0,316.0,62.7
Ian Mahinmi,WAS,31.0,83,262,77,1145,42.0%,128.0,225.0,61.6
Ike Anigbogu,IND,19.0,82,262,11,30,80.0%,10.0,16.0,54.2
Ivica Zubac,LAL,21.0,85,240,43,410,46.1%,56.0,101.0,61.8
JaVale McGee,GSW,30.0,84,270,65,615,43.4%,87.0,162.0,61.0
Jack Cooley,SAC,27.0,82,274,7,87,38.9%,9.0,14.0,62.3
Jahlil Okafor,BKN,22.0,83,260,28,353,39.0%,43.0,76.0,61.4
Jakob Poeltl,TOR,22.0,84,230,81,1507,52.8%,235.0,460.0,61.0
Jarrett Allen,BKN,20.0,83,234,72,1441,49.6%,186.0,353.0,62.3
Jason Smith,WAS,32.0,84,240,33,285,34.5%,24.0,40.0,57.6
Jeff Withey,DAL,28.0,84,230,10,39,45.0%,4.0,9.0,65.0
Joakim Noah,NYK,33.0,83,230,7,40,26.3%,3.0,5.0,60.4
Joel Bolomboy,MIL,24.0,81,235,6,38,20.0%,3.0,3.0,61.0
Joel Embiid,PHI,24.0,84,250,63,1912,45.9%,203.0,405.0,62.2
Joffrey Lauvergne,SAS,26.0,83,260,55,534,47.3%,71.0,96.0,62.5
John Collins,ATL,20.0,82,235,74,1785,47.9%,217.0,383.0,62.0
John Henson,MIL,27.0,83,229,76,1970,51.3%,261.0,457.0,61.7
Jon Leuer,DET,29.0,82,228,8,136,61.4%,20.0,35.0,61.8
Jonas Valanciunas,TOR,26.0,84,255,77,1727,48.7%,240.0,435.0,61.9
Jordan Bell,GSW,23.0,81,224,57,809,45.2%,105.0,204.0,61.0
Jordan Mickey,MIA,23.0,80,235,23,284,58.4%,38.0,66.0,62.6
Julius Randle,LAL,23.0,81,250,82,2190,42.0%,227.0,388.0,62.0
Jusuf Nurkic,POR,23.0,84,280,79,2088,51.5%,282.0,524.0,62.0
Karl-Anthony Towns,MIN,22.0,84,248,82,2918,45.2%,358.0,582.0,62.0
Kelly Olynyk,MIA,27.0,84,245,76,1779,42.6%,193.0,313.0,61.6
Kendrick Perkins,CLE,33.0,82,270,1,15,66.7%,2.0,2.0,58.1
Kevin Love,CLE,29.0,82,251,59,1651,46.7%,212.0,330.0,62.6
Khem Birch,ORL,25.0,81,220,42,578,44.2%,72.0,123.0,61.4
Kosta Koufos,SAC,29.0,84,265,71,1391,46.9%,143.0,246.0,62.8
Kristaps Porzingis,NYK,22.0,87,240,48,1553,38.0%,135.0,277.0,62.4
Kyle O'Quinn,NYK,28.0,82,250,77,1387,46.4%,155.0,292.0,62.4
Lucas Nogueira,TOR,25.0,84,220,48,415,49.8%,60.0,121.0,60.1
Luke Kornet,NYK,22.0,85,250,20,326,53.0%,47.0,79.0,63.9
Mangok Mathiang,CHA,25.0,82,230,4,20,28.6%,2.0,2.0,58.6
Marc Gasol,MEM,33.0,85,255,73,2408,53.0%,279.0,481.0,62.4
Marcin Gortat,WAS,34.0,83,240,82,2074,47.1%,290.0,487.0,62.3
Marreese Speights,ORL,30.0,82,255,52,675,42.6%,86.0,143.0,60.8
Marshall Plumlee,MIL,25.0,84,250,8,52,52.6%,8.0,10.0,62.8
Mason Plumlee,DEN,28.0,83,255,74,1439,42.3%,156.0,285.0,62.7
Matt Costello,SAS,24.0,82,240,4,32,50.0%,2.0,4.0,62.7
Meyers Leonard,POR,26.0,85,255,33,254,45.5%,25.0,45.0,60.0
Mike Muscala,ATL,26.0,83,240,53,1060,38.6%,117.0,195.0,61.6
Miles Plumlee,ATL,29.0,83,249,55,918,45.6%,100.0,190.0,62.2
Montrezl Harrell,LAC,24.0,80,240,76,1293,35.4%,126.0,221.0,61.7
Myles Turner,IND,22.0,83,255,65,1836,55.6%,287.0,501.0,61.8
Nene,HOU,35.0,83,250,52,758,35.7%,77.0,131.0,60.9
Nerlens Noel,DAL,24.0,83,220,30,472,43.9%,54.0,93.0,62.9
Nick Collison,OKC,37.0,82,255,15,75,42.9%,7.0,9.0,61.7
Nikola Jokic,DEN,23.0,82,250,75,2443,46.2%,373.0,558.0,62.6
Nikola Vucevic,ORL,27.0,84,260,57,1683,48.0%,251.0,397.0,61.8
Omer Asik,CHI,31.0,84,255,18,182,51.0%,33.0,51.0,60.8
Pau Gasol,SAS,37.0,84,250,77,1812,47.0%,187.0,368.0,61.4
Richaun Holmes,PHI,24.0,82,235,48,746,43.0%,81.0,142.0,62.5
Robin Lopez,CHI,30.0,84,277,64,1690,42.9%,179.0,324.0,62.5
Rudy Gobert,UTA,26.0,85,245,56,1816,47.6%,223.0,430.0,61.8
Salah Mejri,DAL,32.0,86,235,61,729,47.2%,83.0,160.0,62.0
Serge Ibaka,TOR,28.0,82,235,76,2093,39.7%,186.0,321.0,62.2
Skal Labissiere,SAC,22.0,83,225,60,1240,43.7%,145.0,236.0,62.2
Steven Adams,OKC,24.0,84,255,76,2487,35.4%,219.0,400.0,62.5
Tarik Black,HOU,26.0,81,250,51,537,46.3%,61.0,126.0,61.4
Thomas Bryant,LAL,20.0,82,248,15,72,62.5%,15.0,20.0,66.7
Thon Maker,MIL,21.0,85,223,74,1238,57.9%,209.0,362.0,61.9
Timofey Mozgov,BKN,31.0,85,275,31,359,37.0%,30.0,60.0,61.4
Tony Bradley,UTA,20.0,82,248,9,29,17.6%,1.0,3.0,59.3
Tristan Thompson,CLE,27.0,81,238,53,1072,37.4%,135.0,204.0,61.6
Tyler Zeller,MIL,28.0,84,250,66,1108,41.0%,145.0,241.0,62.5
Tyson Chandler,PHX,35.0,85,240,46,1151,47.3%,137.0,220.0,62.3
Willie Cauley-Stein,SAC,24.0,84,240,73,2044,36.2%,166.0,282.0,62.9
Willie Reed,DET,28.0,83,245,42,428,49.5%,49.0,98.0,62.7
Willy Hernangomez,CHA,24.0,83,240,48,494,48.4%,63.0,109.0,59.5
Zach Collins,POR,20.0,84,230,66,1045,35.9%,71.0,151.0,60.1
Zaza Pachulia,GSW,34.0,83,270,69,972,47.2%,156.0,255.0,61.9
Zhou Qi,HOU,22.0,85,210,18,124,48.5%,13.0,32.0,57.6
